paper_id,title,decision,gt_binary,avg_score,scores,venue,pdf_url
zzo3Sy3NSX,Your Language Model Secretly Contains Personality Subnetworks,Accept (Poster),Accept,4.50,4 4 4 6,ICLR 2026 Poster,/pdf/217ef31a5b92c8f2cf057c7601381cc6af8c901c.pdf
zzTQISAGUp,Polychromic Objectives for Reinforcement Learning,Accept (Poster),Accept,5.50,2 6 8 6,ICLR 2026 Poster,/pdf/c4ab101674ac9d724ef98dd20bcf410ba92ccbaa.pdf
zzTDulLys0,vAttention: Verified Sparse Attention via Sampling,Accept (Poster),Accept,5.00,2 6 6 6,ICLR 2026 Poster,/pdf/b353d1d314c97b316faf589c3fd73cec7d570b3a.pdf
zz3El6hqbs,Learning activation functions with PCA on a set of diverse piecewise-linear self-trained mappings,Reject,Reject,3.50,2 8 2 2,Submitted to ICLR 2026,/pdf/2f034bb29c38262912bdd469ebeea36cb85791c8.pdf
zz06hwkH37,Sobolev acceleration for neural networks,Reject,Reject,4.50,4 6 4 4,Submitted to ICLR 2026,/pdf/c051d040c4fd039cab69daed99bece8b60144928.pdf
zyRmy0Ch9a,Diffusion Bridge Variational Inference for Deep Gaussian Processes,Accept (Poster),Accept,6.00,6 6 4 8,ICLR 2026 Poster,/pdf/cca938ee8704d1a41017b87af92f690a6a013172.pdf
zyLI9LEmry,Preference-based Policy Optimization from Sparse-reward Offline Dataset,Accept (Poster),Accept,5.50,6 6 6 4,ICLR 2026 Poster,/pdf/50b38bf4272c45bb70319c0d3d3b3fefd8a4ee09.pdf
zyCjizqOxB,Teaching VLMs to Admit Uncertainty in OCR from Lossy Visual Inputs,Accept (Poster),Accept,6.00,4 6 8 6,ICLR 2026 Poster,/pdf/6c52ffb6bb3adce3693d5581b4ec096d81eadef8.pdf
zxsLio384j,Lightweight Transformer for EEG Classification via Balanced Signed Graph Algorithm Unrolling,Accept (Poster),Accept,5.50,6 8 4 4,ICLR 2026 Poster,/pdf/4f70be94fdd58355d0078e7fbaf77dc7c16df0c1.pdf
zxlbh55PhC,Clustering by Denoising: Latent plug-and-play diffusion for single-cell embeddings,Accept (Poster),Accept,5.33,4 6 6,ICLR 2026 Poster,/pdf/18ea95a30d1108711b18b9c6ff92b4049a9007ef.pdf
zxito57J6x,Segment Any Events with Language,Accept (Poster),Accept,6.00,6 4 8 6,ICLR 2026 Poster,/pdf/bf20d0c658c6952635bddcc08445716d3c51da43.pdf
zxPXPWdel1,Inherently Interpretable Tree Ensemble Learning,Reject,Reject,2.50,2 4 4 0,Submitted to ICLR 2026,/pdf/05b1882ef26904edf9f642970abd617983c6023e.pdf
zxAPHZNFt8,Activation Function Informed Quantization,Reject,Reject,2.50,4 2 2 2,Submitted to ICLR 2026,/pdf/2630cb7eb675a294367868def0faabb63172a7ad.pdf
zwgr6HgLeV,PhiNet v2: A Mask-Free Brain-Inspired Vision Representation Learning from Video,Reject,Reject,4.50,4 6 2 6,Submitted to ICLR 2026,/pdf/b9948b274df8c7d43fa7da16abd7b0664adaa4a2.pdf
